Date,Open,High,Low,Close,Adj Close,Volume
09-07-2021,142.75,145.649994,142.649994,145.110001,143.047333,99890800
12-07-2021,146.210007,146.320007,144,144.5,142.445984,76299700
13-07-2021,144.029999,147.460007,143.630005,145.639999,143.569809,100827100
14-07-2021,148.100006,149.570007,147.679993,149.149994,147.029922,127050800
15-07-2021,149.240005,150,147.089996,148.479996,146.369431,106820300
16-07-2021,148.460007,149.759995,145.880005,146.389999,144.309128,93251400
19-07-2021,143.75,144.070007,141.669998,142.449997,140.425156,121434600
20-07-2021,143.460007,147.100006,142.960007,146.149994,144.072556,96350000
21-07-2021,145.529999,146.130005,144.630005,145.399994,143.333237,74993500
22-07-2021,145.940002,148.199997,145.809998,146.800003,144.713303,77338200
23-07-2021,147.550003,148.720001,146.919998,148.559998,146.448273,71447400
26-07-2021,148.270004,149.830002,147.699997,148.990005,146.872208,72434100
27-07-2021,149.119995,149.210007,145.550003,146.770004,144.683746,104818600
28-07-2021,144.809998,146.970001,142.539993,144.979996,142.919159,118931200
29-07-2021,144.690002,146.550003,144.580002,145.639999,143.569809,56699500
30-07-2021,144.380005,146.330002,144.110001,145.860001,143.786652,70440600
02-08-2021,146.360001,146.949997,145.25,145.520004,143.451508,62880000
03-08-2021,145.809998,148.039993,145.179993,147.360001,145.26535,64786600
04-08-2021,147.270004,147.789993,146.279999,146.949997,144.861191,56368300
05-08-2021,146.979996,147.839996,146.169998,147.059998,144.96962,46397700
06-08-2021,146.350006,147.110001,145.630005,146.139999,144.278549,54126800
09-08-2021,146.199997,146.699997,145.520004,146.089996,144.229187,48908700
10-08-2021,146.440002,147.710007,145.300003,145.600006,143.745407,69023100
11-08-2021,146.050003,146.720001,145.529999,145.860001,144.002121,48493500
12-08-2021,146.190002,149.050003,145.839996,148.889999,146.993515,72282600
13-08-2021,148.970001,149.440002,148.270004,149.100006,147.200836,59375000
16-08-2021,148.539993,151.190002,146.470001,151.119995,149.195084,103296000
17-08-2021,150.229996,151.679993,149.089996,150.190002,148.276947,92229700
18-08-2021,149.800003,150.720001,146.149994,146.360001,144.495743,86326000
19-08-2021,145.029999,148,144.5,146.699997,144.831436,86960300
20-08-2021,147.440002,148.5,146.779999,148.190002,146.302429,60549600
23-08-2021,148.309998,150.190002,147.889999,149.710007,147.803055,60131800
24-08-2021,149.449997,150.860001,149.149994,149.619995,147.714203,48606400
25-08-2021,149.809998,150.320007,147.800003,148.360001,146.470261,58991300
26-08-2021,148.350006,149.119995,147.509995,147.539993,145.660675,48597200
27-08-2021,147.479996,148.75,146.830002,148.600006,146.70723,55802400
30-08-2021,149,153.490005,148.610001,153.119995,151.169617,90956700
31-08-2021,152.660004,152.800003,151.289993,151.830002,149.896042,86453100
01-09-2021,152.830002,154.979996,152.339996,152.509995,150.567413,80313700
02-09-2021,153.869995,154.720001,152.399994,153.649994,151.692871,71115500
03-09-2021,153.759995,154.630005,153.089996,154.300003,152.334595,57808700
07-09-2021,154.970001,157.259995,154.389999,156.690002,154.694153,82278300
08-09-2021,156.979996,157.039993,153.979996,155.110001,153.134262,74420200
09-09-2021,155.490005,156.110001,153.949997,154.070007,152.107529,57305700
10-09-2021,155,155.479996,148.699997,148.970001,147.072479,140893200
13-09-2021,150.630005,151.419998,148.75,149.550003,147.645096,102404300
14-09-2021,150.350006,151.070007,146.910004,148.119995,146.233307,109296300
15-09-2021,148.559998,149.440002,146.369995,149.029999,147.13176,83281300
16-09-2021,148.440002,148.970001,147.220001,148.789993,146.894791,68034100
17-09-2021,148.820007,148.820007,145.759995,146.059998,144.199539,129868800
20-09-2021,143.800003,144.839996,141.270004,142.940002,141.119308,123478900
21-09-2021,143.929993,144.600006,142.779999,143.429993,141.603073,75834000
22-09-2021,144.449997,146.429993,143.699997,145.850006,143.992249,76404300
23-09-2021,146.649994,147.080002,145.639999,146.830002,144.959747,64838200
24-09-2021,145.660004,147.470001,145.559998,146.919998,145.048599,53477900
27-09-2021,145.470001,145.960007,143.820007,145.369995,143.518341,74150700
28-09-2021,143.25,144.75,141.690002,141.910004,140.102417,108972300
29-09-2021,142.470001,144.449997,142.029999,142.830002,141.010712,74602000
30-09-2021,143.660004,144.380005,141.279999,141.5,139.697632,89056700
01-10-2021,141.899994,142.919998,139.110001,142.649994,140.832993,94639600
04-10-2021,141.759995,142.210007,138.270004,139.139999,137.367706,98322000
05-10-2021,139.490005,142.240005,139.360001,141.110001,139.312622,80861100
06-10-2021,139.470001,142.149994,138.369995,142,140.191284,83221100
07-10-2021,143.059998,144.220001,142.720001,143.289993,141.464844,61732700
08-10-2021,144.029999,144.179993,142.559998,142.899994,141.079788,58773200
11-10-2021,142.270004,144.809998,141.809998,142.809998,140.990967,64452200
12-10-2021,143.229996,143.25,141.039993,141.509995,139.707489,73035900
13-10-2021,141.240005,141.399994,139.199997,140.910004,139.115173,78762700
14-10-2021,142.110001,143.880005,141.509995,143.759995,141.928818,69907100
15-10-2021,143.770004,144.899994,143.509995,144.839996,142.995102,67940300
18-10-2021,143.449997,146.839996,143.160004,146.550003,144.683304,85589200
19-10-2021,147.009995,149.169998,146.550003,148.759995,146.865143,76378900
20-10-2021,148.699997,149.75,148.119995,149.259995,147.358795,58418800
21-10-2021,148.809998,149.639999,147.869995,149.479996,147.575974,61421000
22-10-2021,149.690002,150.179993,148.639999,148.690002,146.796036,58883400
25-10-2021,148.679993,149.369995,147.619995,148.639999,146.746689,50720600
26-10-2021,149.330002,150.839996,149.009995,149.320007,147.41803,60893400
27-10-2021,149.360001,149.729996,148.490005,148.850006,146.95401,56094900
28-10-2021,149.820007,153.169998,149.720001,152.570007,150.626633,100077900
29-10-2021,147.220001,149.940002,146.410004,149.800003,147.891937,124953200
01-11-2021,148.990005,149.699997,147.800003,148.960007,147.062622,74588300
02-11-2021,148.660004,151.570007,148.649994,150.020004,148.109131,69122000
03-11-2021,150.389999,151.970001,149.820007,151.490005,149.56041,54511500
04-11-2021,151.580002,152.429993,150.639999,150.960007,149.03717,60394600
05-11-2021,151.889999,152.199997,150.059998,151.279999,149.57106,65463900
08-11-2021,151.410004,151.570007,150.160004,150.440002,148.74054,55020900
09-11-2021,150.199997,151.429993,150.059998,150.809998,149.106323,56787900
10-11-2021,150.020004,150.130005,147.850006,147.919998,146.248978,65187100
11-11-2021,148.960007,149.429993,147.679993,147.869995,146.19957,41000000
12-11-2021,148.429993,150.399994,147.479996,149.990005,148.295624,63804000
15-11-2021,150.369995,151.880005,149.429993,150,148.305496,59222800
16-11-2021,149.940002,151.490005,149.339996,151,149.294205,59256200
17-11-2021,151,155,150.990005,153.490005,151.756073,88807000
18-11-2021,153.710007,158.669998,153.050003,157.869995,156.086578,137827700
19-11-2021,157.649994,161.020004,156.529999,160.550003,158.736328,117305600
22-11-2021,161.679993,165.699997,161,161.020004,159.201004,117467900
23-11-2021,161.119995,161.800003,159.059998,161.410004,159.586609,96041900
24-11-2021,160.75,162.139999,159.639999,161.940002,160.110626,69463600
26-11-2021,159.570007,160.449997,156.360001,156.809998,155.038574,76959800
29-11-2021,159.369995,161.190002,158.789993,160.240005,158.42984,88748200
30-11-2021,159.990005,165.520004,159.919998,165.300003,163.432663,174048100
01-12-2021,167.479996,170.300003,164.529999,164.770004,162.908646,152052500
02-12-2021,158.740005,164.199997,157.800003,163.759995,161.910049,136739200
03-12-2021,164.020004,164.960007,159.720001,161.839996,160.011749,118023100
06-12-2021,164.289993,167.880005,164.279999,165.320007,163.452438,107497000
07-12-2021,169.080002,171.580002,168.339996,171.179993,169.246246,120405400
08-12-2021,172.130005,175.960007,170.699997,175.080002,173.102173,116998900
09-12-2021,174.910004,176.75,173.919998,174.559998,172.588028,108923700
10-12-2021,175.210007,179.630005,174.690002,179.449997,177.422821,115402700
13-12-2021,181.119995,182.130005,175.529999,175.740005,173.754745,153237000
14-12-2021,175.25,177.740005,172.210007,174.330002,172.360657,139380400
15-12-2021,175.110001,179.5,172.309998,179.300003,177.274521,131063300
16-12-2021,179.279999,181.139999,170.75,172.259995,170.314041,150185800
17-12-2021,169.929993,173.470001,169.690002,171.139999,169.206696,195432700
20-12-2021,168.279999,170.580002,167.460007,169.75,167.832382,107499100
21-12-2021,171.559998,173.199997,169.119995,172.990005,171.035812,91185900
22-12-2021,173.039993,175.860001,172.149994,175.639999,173.655853,92135300
23-12-2021,175.850006,176.850006,175.270004,176.279999,174.288635,68356600
27-12-2021,177.089996,180.419998,177.070007,180.330002,178.292862,74919600
28-12-2021,180.160004,181.330002,178.529999,179.289993,177.264587,79144300
29-12-2021,179.330002,180.630005,178.139999,179.380005,177.353622,62348900
30-12-2021,179.470001,180.570007,178.089996,178.199997,176.18692,59773000
31-12-2021,178.089996,179.229996,177.259995,177.570007,175.564072,64062300
03-01-2022,177.830002,182.880005,177.710007,182.009995,179.953888,104487900
04-01-2022,182.630005,182.940002,179.119995,179.699997,177.669968,99310400
05-01-2022,179.610001,180.169998,174.639999,174.919998,172.943985,94537600
06-01-2022,172.699997,175.300003,171.639999,172,170.056961,96904000
07-01-2022,172.889999,174.139999,171.029999,172.169998,170.225052,86709100
10-01-2022,169.080002,172.5,168.169998,172.190002,170.244827,106765600
11-01-2022,172.320007,175.179993,170.820007,175.080002,173.102173,76138300
12-01-2022,176.119995,177.179993,174.820007,175.529999,173.547089,74805200
13-01-2022,175.779999,176.619995,171.789993,172.190002,170.244827,84505800
14-01-2022,171.339996,173.779999,171.089996,173.070007,171.114899,80440800
18-01-2022,171.509995,172.539993,169.410004,169.800003,167.881821,90956700
19-01-2022,170,171.080002,165.940002,166.229996,164.352127,94815000
20-01-2022,166.979996,169.679993,164.179993,164.509995,162.651581,91420500
21-01-2022,164.419998,166.330002,162.300003,162.410004,160.575302,122848900
24-01-2022,160.020004,162.300003,154.699997,161.619995,159.794235,162294600
25-01-2022,158.979996,162.759995,157.020004,159.779999,157.975006,115798400
26-01-2022,163.5,164.389999,157.820007,159.690002,157.886017,108275300
27-01-2022,162.449997,163.839996,158.279999,159.220001,157.421356,121954600
28-01-2022,165.710007,170.350006,162.800003,170.330002,168.405838,179935700
31-01-2022,170.160004,175,169.509995,174.779999,172.805542,115541600
01-02-2022,174.009995,174.839996,172.309998,174.610001,172.637482,86213900
02-02-2022,174.75,175.880005,173.330002,175.839996,173.853607,84914300
03-02-2022,174.479996,176.240005,172.119995,172.899994,170.946808,89418100
04-02-2022,171.679993,174.100006,170.679993,172.389999,170.659714,82465400
07-02-2022,172.860001,173.949997,170.949997,171.660004,169.937057,77251200
08-02-2022,171.729996,175.350006,171.429993,174.830002,173.075256,74829200
09-02-2022,176.050003,176.649994,174.899994,176.279999,174.510696,71285000
10-02-2022,174.139999,175.479996,171.550003,172.119995,170.392441,90865900
11-02-2022,172.330002,173.080002,168.039993,168.639999,166.947357,98670700
14-02-2022,167.369995,169.580002,166.559998,168.880005,167.184967,86185500
15-02-2022,170.970001,172.949997,170.25,172.789993,171.05571,62527400
16-02-2022,171.850006,173.339996,170.050003,172.550003,170.818115,61177400
17-02-2022,171.029999,171.910004,168.470001,168.880005,167.184967,69589300
18-02-2022,169.820007,170.539993,166.190002,167.300003,165.620819,82772700
22-02-2022,164.979996,166.690002,162.149994,164.320007,162.670715,91162800
23-02-2022,165.539993,166.149994,159.75,160.070007,158.463394,90009200
24-02-2022,152.580002,162.850006,152,162.740005,161.106583,141147500
25-02-2022,163.839996,165.119995,160.869995,164.850006,163.195404,91974200
28-02-2022,163.059998,165.419998,162.429993,165.119995,163.462677,95056600
01-03-2022,164.699997,166.600006,161.970001,163.199997,161.561966,83474400
02-03-2022,164.389999,167.360001,162.949997,166.559998,164.888245,79724800
03-03-2022,168.470001,168.910004,165.550003,166.229996,164.561539,76678400
04-03-2022,164.490005,165.550003,162.100006,163.169998,161.532272,83737200
07-03-2022,163.360001,165.020004,159.039993,159.300003,157.701111,96418800
08-03-2022,158.820007,162.880005,155.800003,157.440002,155.859772,131148300
09-03-2022,161.479996,163.410004,159.410004,162.949997,161.314453,91454900
10-03-2022,160.199997,160.389999,155.979996,158.520004,156.928925,105342000
11-03-2022,158.929993,159.279999,154.5,154.729996,153.176971,96970100
14-03-2022,151.449997,154.119995,150.100006,150.619995,149.108231,108732100
15-03-2022,150.899994,155.570007,150.380005,155.089996,153.533371,92964300
16-03-2022,157.050003,160,154.460007,159.589996,157.98819,102300200
17-03-2022,158.610001,161,157.630005,160.619995,159.007843,75615400
18-03-2022,160.509995,164.479996,159.759995,163.979996,162.334122,123511700
